,_id,exploreid,name_en,name_zh_Hans,lines,lat,lng,x,y,code,phonetic,multiline,transformed_longitude,transformed_latitude
0,449,"2,79",Xinzhuang,莘庄,15,31.1130352638736,121.380654581164,10240708,-42935534,,Xīnzhuāng,0,-2846016.380371521,4666065.249011809
1,450,3,Waihuanlu,外环路,1,31.12285403194596,121.38859927846998,15814733,-37358774,,Wàihuánlù,0,-2846370.3297885978,4665190.305307676
2,451,4,Lianhua Road,莲花路,1,31.133039137841937,121.3984805364807,21208778,-31956624,,Liánhuā Lù,0,-2846870.716305625,4664201.071378729
3,452,5,Jinjiang Park,锦江乐园,1,31.14399448264071,121.40971362783124,26638853,-26527039,,Jǐnjiāng Lèyuán,0,-2847457.7614536756,4663106.779743776
4,453,"6,39",Shanghai South Railway Station,上海南站,13,31.1558575189936,121.42524898244808,32104868,-20912684,,Shànghǎi Nánzhàn,0,-2848367.2925123326,4661753.968664015
5,454,7,Caobao Road,漕宝路,1,31.17046390844544,121.43036663724529,32115218,-6456528,,Cáobǎo Lù,0,-2848346.6706850603,4660784.4689685805
6,455,"8,61",Shanghai Indoor Stadium,上海体育馆,14,31.184361297787127,121.43181503011766,42169222,3645912,,Shànghǎi Tǐyùguǎn,0,-2848048.515731917,4660031.837079464
7,456,"9,914,1199",Xujiahui,徐家汇,19E,31.195861359327072,121.43386423780272,45317368,7495912,,Xújiāhuì,0,-2847870.8164858585,4659366.560389303
8,457,10,Hengshan Road,衡山路,1,31.206469913324725,121.4419323225175,50760437,12133411,,Héngshān Lù,0,-2848209.0507623604,4658445.635277572
9,458,"11,714",Changshu Road,常熟路,17,31.215434865643555,121.44632041646751,55886412,17243181,,Chángshú Lù,0,-2848297.107195243,4657788.068076332
10,459,"12,1017",South Shaanxi Road,陕西南路,1X,31.218279248120496,121.4546889085931,65858087,16500991,,Shǎnxī Nánlù,0,-2848892.0920464746,4657232.573284331
11,460,13,South Huangpi Road,黄陂南路,1,31.224747605784355,121.4688938875411,73240217,17981846,,Huángpí Nánlù,0,-2849852.579664638,4656209.054252063
12,461,"14,31,815",People's Square,人民广场,128,31.235435482005563,121.46992385579914,76143442,27499036,,Rénmín Guǎngchǎng,0,-2849615.5353020886,4655633.797273754
13,462,15,Xinzha Road,新闸路,1,31.240535879169123,121.46340072348038,72270693,31651091,,Xīnzhá Lù,0,-2848932.4017758,4655708.049309284
14,463,16,Hanzhong Road,汉中路,1,31.243599654413018,121.45432412816054,67021277,36800991,,Hànzhōng Lù,0,-2848102.8896717005,4656009.014786681
15,465,"17,51,70",Shanghai Railway Station,上海火车站,134,31.250607437270823,121.45186722471004,65842953,43255871,,Shànghǎi Huǒchē Zhàn,0,-2847692.9322051955,4655787.313296068
16,466,18,North Zhongshan Road,中山北路,1,31.26108145185742,121.45483911229852,65839437,52701286,,Zhōngshān Běilù,0,-2847619.9940728806,4655125.593237594
17,467,19,Yanchang Road,延长路,1,31.27348000864771,121.45092308713568,65839437,57524235,,Yáncháng Lù,0,-2846929.539138444,4654711.53158999
18,468,20,Shanghai Circus World,上海马戏城,1,31.2811824527321,121.447645429525,65839437,62347375,,Shànghǎi Mǎxìchéng,0,-2846431.936539206,4654496.1283906875
19,469,21,Wenshui Road,汶水路,1,31.294660162920316,121.4455264825986,65839437,67170811,,Wènshuǐ Lù,0,-2845854.9353759554,4653939.303778878
20,470,22,Pengpu Xincun,彭浦新村,1,31.3084018173287,121.444233660475,65839437,71993565,,Péngpǔ Xīncūn,0,-2845336.9835806857,4653328.185796597
21,471,23,Gongkang Road,共康路,1,31.321105750870288,121.44232928945198,65839437,76817005,,Gòngkāng Lù,0,-2844800.436050603,4652798.1722089015
22,472,24,Tonghe Xincun,通河新村,1,31.3328641192262,121.437045339787,65839437,81640049,,Tōnghé Xīncūn,0,-2844017.803727087,4652482.175211845
23,473,25,Hulan Road,呼兰路,1,31.341688752647013,121.43311321927564,65839437,86463195,,Hūlán Lù,0,-2843433.1330738156,4652243.1612350345
24,474,26,Gongfu Xincun,共富新村,1,31.3570085594916,121.429653167672,65839437,91286239,,Gòngfù Xīncūn,0,-2842691.3755564587,4651660.820998259
25,475,"27,46,65",Zhongshan Park,中山公园,234,31.220040887256182,121.41130149556908,36607698,27497476,,Zhōngshān Gōngyuán,0,-2845311.809164169,4659302.1706321705
26,476,"28,1101",Jiangsu Road,江苏路,2E,31.221371270055165,121.42670810415144,45061997,27497181,,Jiāngsū Lù,0,-2846524.7091814363,4658471.668094026
27,477,"29,715",Jing'an Temple,静安寺,27,31.22581186052514,121.44306957913908,55886412,27380091,,Jìng’ān Sì,0,-2847721.737793328,4657440.87647925
28,478,30,West Nanjing Road,南京西路,2,31.23173843926533,121.45557940198567,64484262,27379801,,Nánjīng Xīlù,0,-2848560.785971902,4656528.387287601
29,479,"32,1013",East Nanjing Road,南京东路,2X,31.23937088466026,121.47992313100444,89412776,27528821,,Nánjīng Dōnglù,0,-2850309.8334357427,4654943.437782891
30,480,33,Lujiazui,陆家嘴,2,31.240040528929622,121.49786174489896,94802621,27391416,,Lùjiāzuǐ,0,-2851746.982292232,4654017.980226849
31,481,34,Dongchang Road,东昌路,2,31.23538961387474,121.51105821325086,100207997,22818861,,Dōngchāng Lù,0,-2852958.5980220768,4653589.021503871
32,482,35,Shanghai Science and Technology Museum,上海科技馆,2,31.22179331861635,121.53886735631625,110383579,12227261,,Shànghǎi Kējì Guǎn,0,-2855625.7448907783,4652869.863926812
